station,temp_eve,latitude,longitude,lat_m,lon_m
KNCHOLDE25,28.22258064516129,33.917,-78.245,4017662.591444485,-8710193.557119692
KNCHOLLY111,27.73548387096774,35.634,-78.804,4250376.5005308045,-8772421.15247313
KNCHOLLY131,27.838709677419356,34.50799,-77.47009,4097218.3476850875,-8623930.970509075
KNCHOLLY164,28.664516129032258,35.638,-78.859,4250924.376591221,-8778543.72446676
KNCHOLLY171,27.65806451612903,34.48613,-77.49237,4094265.695143679,-8626411.168763949
KNCHOLLY173,28.138709677419353,35.653,-78.777,4252979.156094928,-8769415.526221713
KNCHOLLY19,27.54516129032258,35.65893,-78.81731,4253791.585349514,-8773902.814895589
KNCHOLLY204,27.583870967741937,35.63422,-78.85855,4250406.633001572,-8778493.630695904
KNCHOLLY214,27.570967741935487,35.633,-78.875,4250239.5357998535,-8780324.836319454
KNCHOLLY227,28.141935483870967,35.615,-78.877,4247774.463567949,-8780547.475301038
KNCHOLLY228,27.561290322580643,35.642,-78.794,4251472.280074284,-8771307.957565198
KNCHOLLY232,27.719354838709677,35.663,-78.811,4254349.223477883,-8773200.388908684
KNCHOLLY238,28.419354838709676,35.67,-78.871,4255308.372744814,-8779879.55835628
KNCHOLLY241,29.335483870967742,35.666,-78.87,4254760.277151538,-8779768.238865487
KNCHOLLY248,28.074193548387097,35.627,-78.841,4249417.783394524,-8776539.973632481
KNCHOLLY50,28.19677419354839,34.43795,-77.54911,4087760.7040817314,-8632727.436671559
KNCHOLLY55,28.241935483870968,35.64746,-78.83749,4252220.2126017,-8776149.242219798
KNCHOLLY78,28.351612903225806,34.43592,-77.52873,4087486.7073490834,-8630458.745449193
KNCHOLLY80,28.677419354838708,35.67233,-78.8276,4255627.651086713,-8775048.292455852
KNCHOLLY89,28.822580645161292,35.6495,-78.84358,4252499.673036474,-8776827.177918728
KNCHOPEM11,28.603225806451615,34.93855,-78.96165,4155533.466980733,-8789970.670196692
KNCHOPEM16,28.916129032258063,34.975,-78.941,4160484.262703227,-8787671.922711808
KNCHOPEM22,28.248387096774195,34.927,-78.889,4153965.1554802447,-8781883.309190558
KNCHOPEM30,28.370967741935484,34.918,-78.877,4152743.247604891,-8780547.475301038
KNCHOPEM77,29.187096774193545,34.942,-78.964,4156001.9664993766,-8790232.271000054
KNCHOTSP9,26.251612903225805,35.928,-82.891,4290718.80031181,-9227383.91134524
KNCHUBER45,27.716129032258067,34.692,-77.208,4122103.5504689263,-8594755.245167065
KNCHUNTE107,28.335483870967742,35.438,-80.893,4223564.053812852,-9004967.568740278
KNCHUNTE109,28.23225806451613,35.404,-80.911,4218919.568397231,-9006971.319574557
KNCHUNTE111,28.541935483870965,35.394,-80.893,4217553.916152842,-9004967.568740278
KNCHUNTE12,29.106451612903225,35.43396,-80.77749,4223012.077022049,-8992109.054358747
KNCHUNTE121,29.46451612903226,35.401,-80.825,4218509.854938305,-8997397.843366338
KNCHUNTE125,28.906451612903226,35.413,-80.806,4220148.800271458,-8995282.773041263
